batch,element,control,property,declared,computed,selector,status
batch-000.json,0dcf3a6,background_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",.elementor-element-0dcf3a6:not(.elementor-motion-effects-element-type-background),not-comparable
batch-000.json,0dcf3a6,background_attachment,background-attachment,scroll,scroll,.elementor-element-0dcf3a6:not(.elementor-motion-effects-element-type-background),verified
batch-000.json,0dcf3a6,background_size,background-size,950px,950px,.elementor-element-0dcf3a6:not(.elementor-motion-effects-element-type-background),verified
batch-000.json,0dcf3a6,background_bg_width,background-size,950px,950px,.elementor-element-0dcf3a6:not(.elementor-motion-effects-element-type-background),verified
batch-000.json,0dcf3a6,background_color,background-color,"rgb(133, 207, 170)","rgb(133, 207, 170)",.elementor-element-0dcf3a6:not(.elementor-motion-effects-element-type-background),verified
batch-000.json,0dcf3a6,background_hover_image,background-image,,,{{WRAPPER}}:hover,hover-only
batch-000.json,0dcf3a6,background_hover_attachment,background-attachment,,,(desktop+){{WRAPPER}}:hover,hover-only
batch-000.json,0dcf3a6,background_hover_size,background-size,,,{{WRAPPER}}:hover,hover-only
batch-000.json,0dcf3a6,background_hover_bg_width,background-size,,,{{WRAPPER}}:hover,hover-only
batch-000.json,0dcf3a6,background_hover_color,background-color,,,{{WRAPPER}}:hover,hover-only
batch-000.json,0dcf3a6,background_hover_position,background-position,,,{{WRAPPER}}:hover,hover-only
batch-000.json,0dcf3a6,background_hover_repeat,background-repeat,,,{{WRAPPER}}:hover,hover-only
batch-000.json,0dcf3a6,background_overlay_image,background-image,"url(""https://example.com/eh-sweep-probe.png"")","url(""https://example.com/eh-sweep-probe.png"")",.elementor-element-0dcf3a6 > .elementor-background-overlay,not-comparable
batch-000.json,0dcf3a6,background_overlay_attachment,background-attachment,scroll,scroll,.elementor-element-0dcf3a6 > .elementor-background-overlay,verified
batch-000.json,0dcf3a6,background_overlay_size,background-size,567px,567px,.elementor-element-0dcf3a6 > .elementor-background-overlay,verified
batch-000.json,0dcf3a6,background_overlay_bg_width,background-size,567px,567px,.elementor-element-0dcf3a6 > .elementor-background-overlay,verified
batch-000.json,0dcf3a6,background_overlay_color,background-color,"rgb(229, 100, 181)","rgb(229, 100, 181)",.elementor-element-0dcf3a6 > .elementor-background-overlay,verified
batch-000.json,0dcf3a6,background_overlay_hover_image,background-image,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,0dcf3a6,background_overlay_hover_attachment,background-attachment,,,(desktop+){{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,0dcf3a6,background_overlay_hover_size,background-size,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,0dcf3a6,background_overlay_hover_bg_width,background-size,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,0dcf3a6,background_overlay_hover_color,background-color,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,0dcf3a6,background_overlay_hover_opacity,opacity,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,0dcf3a6,background_overlay_hover_position,background-position,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,0dcf3a6,background_overlay_hover_repeat,background-repeat,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,0dcf3a6,background_overlay_opacity,opacity,486,1,.elementor-element-0dcf3a6 > .elementor-background-overlay,not-comparable
batch-000.json,0dcf3a6,background_overlay_position,background-position,center center,50% 50%,.elementor-element-0dcf3a6 > .elementor-background-overlay,not-comparable
batch-000.json,0dcf3a6,background_overlay_repeat,background-repeat,no-repeat,no-repeat,.elementor-element-0dcf3a6 > .elementor-background-overlay,verified
batch-000.json,0dcf3a6,background_position,background-position,center center,50% 50%,.elementor-element-0dcf3a6:not(.elementor-motion-effects-element-type-background),not-comparable
batch-000.json,0dcf3a6,background_repeat,background-repeat,no-repeat,no-repeat,.elementor-element-0dcf3a6:not(.elementor-motion-effects-element-type-background),verified
batch-000.json,0dcf3a6,border_border,border-style,none,none,.elementor-element-0dcf3a6,verified
batch-000.json,0dcf3a6,border_hover_border,border-style,,,{{WRAPPER}}:hover,hover-only
batch-000.json,0dcf3a6,border_hover_transition,transition,"background 609s, border 79s, border-radius 79s, box-shadow 79s","background 609s, border 79s, border-radius 79s, box-shadow 79s",.elementor-element-0dcf3a6,not-comparable
batch-000.json,0dcf3a6,border_hover_transition,transition,"background 178s, border-radius 79s, opacity 178s","background 178s, border-radius 79s, opacity 178s",.elementor-element-0dcf3a6 > .elementor-background-overlay,not-comparable
batch-000.json,0dcf3a6,border_radius,border-radius,15px 16px 17px 18px,15px 16px 17px 18px,.elementor-element-0dcf3a6,not-comparable
batch-000.json,0dcf3a6,border_radius_hover,border-radius,,,"{{WRAPPER}}:hover, {{WRAPPER}}:hover > .elementor-background-overlay",hover-only
batch-000.json,0dcf3a6,box_shadow_box_shadow,box-shadow,"rgb(81, 61, 96) 3px 5px 7px 2px","rgb(81, 61, 96) 3px 5px 7px 2px",.elementor-element-0dcf3a6,not-comparable
batch-000.json,0dcf3a6,box_shadow_hover_box_shadow,box-shadow,,,{{WRAPPER}}:hover,hover-only
batch-000.json,0dcf3a6,color_link,color,,,{{WRAPPER}} a,no-target-node
batch-000.json,0dcf3a6,color_link_hover,color,,,{{WRAPPER}} a:hover,hover-only
batch-000.json,0dcf3a6,color_text,color,"rgb(186, 72, 187)","rgb(186, 72, 187)",.elementor-element-0dcf3a6,verified
batch-000.json,0dcf3a6,content_position,align-content,flex-start,flex-start,.elementor-element-0dcf3a6 > .elementor-container > .elementor-column > .elementor-widget-wrap,not-comparable
batch-000.json,0dcf3a6,content_position,align-items,flex-start,flex-start,.elementor-element-0dcf3a6 > .elementor-container > .elementor-column > .elementor-widget-wrap,verified
batch-000.json,0dcf3a6,content_width,max-width,674px,674px,.elementor-element-0dcf3a6 > .elementor-container,verified
batch-000.json,0dcf3a6,css_filters_blur,filter,brightness(657%) contrast(394%) saturate(91%) blur(819px) hue-rotate(282deg),brightness(6.57) contrast(3.94) saturate(0.91) blur(819px) hue-rotate(282deg),.elementor-element-0dcf3a6 .elementor-background-overlay,not-comparable
batch-000.json,0dcf3a6,css_filters_hover_blur,filter,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,0dcf3a6,custom_height,min-height,161px,161px,.elementor-element-0dcf3a6 > .elementor-container,not-comparable
batch-000.json,0dcf3a6,custom_height_inner,min-height,161px,161px,.elementor-element-0dcf3a6 > .elementor-container,not-comparable
batch-000.json,0dcf3a6,gap_columns_custom,padding,,,{{WRAPPER}} .elementor-column-gap-custom .elementor-column > .elementor-element-populated,no-target-node
batch-000.json,0dcf3a6,heading_color,color,,,{{WRAPPER}} .elementor-heading-title,no-target-node
batch-000.json,0dcf3a6,margin,margin-top,27px,27px,.elementor-element-0dcf3a6,verified
batch-000.json,0dcf3a6,margin,margin-bottom,29px,29px,.elementor-element-0dcf3a6,verified
batch-000.json,0dcf3a6,motion_fx_transform_origin_x,--e-transform-origin-x,left,left,.elementor-element-0dcf3a6,not-comparable
batch-000.json,0dcf3a6,motion_fx_transform_origin_y,--e-transform-origin-y,top,top,.elementor-element-0dcf3a6,not-comparable
batch-000.json,0dcf3a6,overflow,overflow,hidden,hidden,.elementor-element-0dcf3a6,verified
batch-000.json,0dcf3a6,overlay_blend_mode,mix-blend-mode,multiply,multiply,.elementor-element-0dcf3a6 > .elementor-background-overlay,not-comparable
batch-000.json,0dcf3a6,padding,padding,26px 27px 28px 29px,26px 27px 28px 29px,.elementor-element-0dcf3a6,not-comparable
batch-000.json,0dcf3a6,shape_divider_bottom_above_content,z-index,2,2,.elementor-element-0dcf3a6 > .elementor-shape-bottom,not-comparable
batch-000.json,0dcf3a6,shape_divider_bottom_above_content,pointer-events,none,none,.elementor-element-0dcf3a6 > .elementor-shape-bottom,not-comparable
batch-000.json,0dcf3a6,shape_divider_bottom_color,fill,"rgb(161, 131, 118)","rgb(161, 131, 118)",.elementor-element-0dcf3a6 > .elementor-shape-bottom .elementor-shape-fill,verified
batch-000.json,0dcf3a6,shape_divider_bottom_flip,transform,translateX(-50%) rotateY(180deg),"matrix3d(-1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, -2363.76, 0, 0, 1)",.elementor-element-0dcf3a6 > .elementor-shape-bottom svg,not-comparable
batch-000.json,0dcf3a6,shape_divider_bottom_height,height,496px,496px,.elementor-element-0dcf3a6 > .elementor-shape-bottom svg,not-comparable
batch-000.json,0dcf3a6,shape_divider_bottom_width,width,calc(383% + 1.3px),4727.52px,.elementor-element-0dcf3a6 > .elementor-shape-bottom svg,not-comparable
batch-000.json,0dcf3a6,shape_divider_top_above_content,z-index,2,2,.elementor-element-0dcf3a6 > .elementor-shape-top,not-comparable
batch-000.json,0dcf3a6,shape_divider_top_above_content,pointer-events,none,none,.elementor-element-0dcf3a6 > .elementor-shape-top,not-comparable
batch-000.json,0dcf3a6,shape_divider_top_color,fill,"rgb(58, 220, 153)","rgb(58, 220, 153)",.elementor-element-0dcf3a6 > .elementor-shape-top .elementor-shape-fill,verified
batch-000.json,0dcf3a6,shape_divider_top_flip,transform,translateX(-50%) rotateY(180deg),"matrix3d(-1, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, -2752.47, 0, 0, 1)",.elementor-element-0dcf3a6 > .elementor-shape-top svg,not-comparable
batch-000.json,0dcf3a6,shape_divider_top_height,height,867px,867px,.elementor-element-0dcf3a6 > .elementor-shape-top svg,not-comparable
batch-000.json,0dcf3a6,shape_divider_top_width,width,calc(446% + 1.3px),5504.94px,.elementor-element-0dcf3a6 > .elementor-shape-top svg,not-comparable
batch-000.json,0dcf3a6,text_align,text-align,start,start,.elementor-element-0dcf3a6 > .elementor-container,verified
batch-000.json,0dcf3a6,z_index,z-index,8,8,.elementor-element-0dcf3a6,not-comparable
batch-000.json,ca43871,background_color,background-color,transparent,"rgba(0, 0, 0, 0)",.elementor-element-ca43871:not(.elementor-motion-effects-element-type-background),not-comparable
batch-000.json,ca43871,background_gradient_angle,background-color,transparent,"rgba(0, 0, 0, 0)",.elementor-element-ca43871:not(.elementor-motion-effects-element-type-background),not-comparable
batch-000.json,ca43871,background_gradient_angle,background-image,"linear-gradient(980deg, rgb(133, 207, 170) 55%, rgb(77, 97, 221) 839%)","linear-gradient(980deg, rgb(133, 207, 170) 55%, rgb(77, 97, 221) 839%)",.elementor-element-ca43871:not(.elementor-motion-effects-element-type-background),not-comparable
batch-000.json,ca43871,background_hover_color,background-color,,,{{WRAPPER}}:hover,hover-only
batch-000.json,ca43871,background_hover_gradient_angle,background-color,,,{{WRAPPER}}:hover,hover-only
batch-000.json,ca43871,background_hover_gradient_angle,background-image,,,{{WRAPPER}}:hover,hover-only
batch-000.json,ca43871,background_overlay_color,background-color,transparent,"rgba(0, 0, 0, 0)",.elementor-element-ca43871 > .elementor-background-overlay,not-comparable
batch-000.json,ca43871,background_overlay_gradient_angle,background-color,transparent,"rgba(0, 0, 0, 0)",.elementor-element-ca43871 > .elementor-background-overlay,not-comparable
batch-000.json,ca43871,background_overlay_gradient_angle,background-image,"linear-gradient(227deg, rgb(229, 100, 181) 219%, rgb(230, 104, 197) 109%)","linear-gradient(227deg, rgb(229, 100, 181) 219%, rgb(230, 104, 197) 109%)",.elementor-element-ca43871 > .elementor-background-overlay,not-comparable
batch-000.json,ca43871,background_overlay_hover_color,background-color,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,ca43871,background_overlay_hover_gradient_angle,background-color,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,ca43871,background_overlay_hover_gradient_angle,background-image,,,{{WRAPPER}}:hover > .elementor-background-overlay,hover-only
batch-000.json,ca43871,border_border,border-style,solid,solid,.elementor-element-ca43871,verified
batch-000.json,ca43871,border_color,border-color,"rgb(88, 69, 226)","rgb(88, 69, 226)",.elementor-element-ca43871,verified
batch-000.json,ca43871,border_hover_border,border-style,,,{{WRAPPER}}:hover,hover-only
batch-000.json,ca43871,border_hover_color,border-color,,,{{WRAPPER}}:hover,hover-only
batch-000.json,ca43871,border_hover_width,border-width,,,{{WRAPPER}}:hover,hover-only
batch-000.json,ca43871,border_width,border-width,89px 90px 91px 92px,89px 90px 91px 92px,.elementor-element-ca43871,not-comparable
batch-000.json,82a2a97,background_color,background-color,transparent,"rgba(0, 0, 0, 0)",.elementor-element-82a2a97:not(.elementor-motion-effects-element-type-background),not-comparable
batch-000.json,82a2a97,background_gradient_position,background-color,transparent,"rgba(0, 0, 0, 0)",.elementor-element-82a2a97:not(.elementor-motion-effects-element-type-background),not-comparable
batch-000.json,82a2a97,background_gradient_position,background-image,"radial-gradient(rgb(133, 207, 170) 55%, rgb(77, 97, 221) 839%)","radial-gradient(rgb(133, 207, 170) 55%, rgb(77, 97, 221) 839%)",.elementor-element-82a2a97:not(.elementor-motion-effects-element-type-background),not-comparable
batch-000.json,82a2a97,background_hover_color,background-color,,,{{WRAPPER}}:hover,hover-only
batch-000.json,82a2a97,background_hover_gradient_position,background-color,,,{{WRAPPER}}:hover,hover-only
