owner,control,type,tab,section,responsive,control_tier,owner_tier,default,options,condition,css,label
*ALL_WIDGETS*,_animation,animation,advanced,section_effects,mobile|tablet,free,free,,,,,Entrance Animation
*ALL_WIDGETS*,_animation_delay,number,advanced,section_effects,,free,free,,,"{""_animation!"":""""}",,Animation Delay (ms)
*ALL_WIDGETS*,_attributes,textarea,advanced,_section_attributes,,pro,free,,,,,Custom Attributes
*ALL_WIDGETS*,_background_attachment,select,advanced,_section_background,,free,free,,"["""",""scroll"",""fixed""]","{""_background_background"":[""classic""],""_background_image[url]!"":""""}",background-attachment,Attachment
*ALL_WIDGETS*,_background_background,choose,advanced,_section_background,,free,free,,"[""classic"",""gradient""]",,,Background Type
*ALL_WIDGETS*,_background_bg_width,slider,advanced,_section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""_background_background"":[""classic""],""_background_size"":[""initial""],""_background_image[url]!"":""""}",background-size,Width
*ALL_WIDGETS*,_background_color,color,advanced,_section_background,,free,free,,,"{""_background_background"":[""classic"",""gradient"",""video""]}",background-color,Color
*ALL_WIDGETS*,_background_color_b,color,advanced,_section_background,,free,free,#f2295b,,"{""_background_background"":[""gradient""]}",,Second Color
*ALL_WIDGETS*,_background_color_b_stop,slider,advanced,_section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""_background_background"":[""gradient""]}",,Location
*ALL_WIDGETS*,_background_color_stop,slider,advanced,_section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":0,""sizes"":[]}",,"{""_background_background"":[""gradient""]}",,Location
*ALL_WIDGETS*,_background_gradient_angle,slider,advanced,_section_background,mobile|tablet,free,free,"{""unit"":""deg"",""size"":180,""sizes"":[]}",,"{""_background_background"":[""gradient""],""_background_gradient_type"":""linear""}",background-color|background-image,Angle
*ALL_WIDGETS*,_background_gradient_position,select,advanced,_section_background,mobile|tablet,free,free,center center,"[""center center"",""center left"",""center right"",""top center"",""top left"",""top right"",""bottom center"",""bottom left"",""bottom right""]","{""_background_background"":[""gradient""],""_background_gradient_type"":""radial""}",background-color|background-image,Position
*ALL_WIDGETS*,_background_gradient_type,select,advanced,_section_background,,free,free,linear,"[""linear"",""radial""]","{""_background_background"":[""gradient""]}",,Type
*ALL_WIDGETS*,_background_hover_attachment,select,advanced,_section_background,,free,free,,"["""",""scroll"",""fixed""]","{""_background_hover_background"":[""classic""],""_background_hover_image[url]!"":""""}",background-attachment,Attachment
*ALL_WIDGETS*,_background_hover_background,choose,advanced,_section_background,,free,free,,"[""classic"",""gradient""]",,,Background Type
*ALL_WIDGETS*,_background_hover_bg_width,slider,advanced,_section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""_background_hover_background"":[""classic""],""_background_hover_size"":[""initial""],""_background_hover_image[url]!"":""""}",background-size,Width
*ALL_WIDGETS*,_background_hover_color,color,advanced,_section_background,,free,free,,,"{""_background_hover_background"":[""classic"",""gradient"",""video""]}",background-color,Color
*ALL_WIDGETS*,_background_hover_color_b,color,advanced,_section_background,,free,free,#f2295b,,"{""_background_hover_background"":[""gradient""]}",,Second Color
*ALL_WIDGETS*,_background_hover_color_b_stop,slider,advanced,_section_background,mobile|tablet,free,free,"{""unit"":""%"",""size"":100,""sizes"":[]}",,"{""_background_hover_background"":[""gradient""]}",,Location
