type,tier,defined_in,value_shape,php_class
alert,free,elementor-core,,Elementor\Control_Alert
animation,free,elementor-core,,Elementor\Control_Animation
animation_menu_dropdown,pro,elementor-pro,,ElementorPro\Modules\MegaMenu\Controls\Control_Menu_Dropdown_Animation
animation_slides_content,pro,elementor-pro,,ElementorPro\Modules\Slides\Controls\Control_Slides_Animation
box_shadow,free,elementor-core,"{""horizontal"":0,""vertical"":0,""blur"":10,""spread"":0,""color"":""rgba(0,0,0,0.5)""}",Elementor\Control_Box_Shadow
button,free,elementor-core,,Elementor\Control_Button
choose,free,elementor-core,,Elementor\Control_Choose
code,free,elementor-core,,Elementor\Control_Code
color,free,elementor-core,,Elementor\Control_Color
conditions_repeater,pro,elementor-pro,,ElementorPro\Modules\ThemeBuilder\Classes\Conditions_Repeater
date_time,free,elementor-core,,Elementor\Control_Date_Time
deprecated_notice,free,elementor-core,,Elementor\Control_Deprecated_Notice
dimensions,free,elementor-core,"{""unit"":""px"",""top"":"""",""right"":"""",""bottom"":"""",""left"":"""",""isLinked"":true}",Elementor\Control_Dimensions
divider,free,elementor-core,,Elementor\Control_Divider
exit_animation,free,elementor-core,,Elementor\Control_Exit_Animation
fields_map,pro,elementor-pro,,ElementorPro\Modules\Forms\Controls\Fields_Map
font,free,elementor-core,,Elementor\Control_Font
form-fields-repeater,pro,elementor-pro,,ElementorPro\Modules\Forms\Controls\Fields_Repeater
gallery,free,elementor-core,,Elementor\Control_Gallery
gaps,free,elementor-core,"{""column"":"""",""row"":"""",""isLinked"":true,""unit"":""px""}",Elementor\Control_Gaps
global-style-repeater,free,elementor-core,,Elementor\Core\Kits\Controls\Repeater
global-style-switcher,free,elementor-core,,Elementor\Modules\Styleguide\Controls\Switcher
heading,free,elementor-core,,Elementor\Control_Heading
hidden,free,elementor-core,,Elementor\Control_Hidden
hover_animation,free,elementor-core,,Elementor\Control_Hover_Animation
hover_animation_contact_buttons,free,elementor-core,,Elementor\Modules\FloatingButtons\Control\Hover_Animation_Floating_Buttons
icon,free,elementor-core,,Elementor\Control_Icon
icons,free,elementor-core,"{""value"":"""",""library"":""""}",Elementor\Control_Icons
image_dimensions,free,elementor-core,"{""width"":"""",""height"":""""}",Elementor\Control_Image_Dimensions
media,free,elementor-core,"{""url"":"""",""id"":"""",""size"":""""}",Elementor\Control_Media
media-preview,pro,elementor-pro,"{""url"":"""",""id"":"""",""size"":""""}",ElementorPro\Modules\ThemeBuilder\Classes\Control_Media_Preview
nested-elements-repeater,free,elementor-core,,Elementor\Modules\NestedElements\Controls\Control_Nested_Repeater
notice,free,elementor-core,,Elementor\Control_Notice
number,free,elementor-core,,Elementor\Control_Number
popover_toggle,free,elementor-core,,Elementor\Control_Popover_Toggle
query,pro,elementor-pro,,ElementorPro\Modules\QueryControl\Controls\Query
raw_html,free,elementor-core,,Elementor\Control_Raw_Html
repeater,free,elementor-core,,Elementor\Control_Repeater
section,free,elementor-core,,Elementor\Control_Section
select,free,elementor-core,,Elementor\Control_Select
select2,free,elementor-core,,Elementor\Control_Select2
slider,free,elementor-core,"{""unit"":""px"",""size"":"""",""sizes"":[]}",Elementor\Control_Slider
structure,free,elementor-core,,Elementor\Control_Structure
switcher,free,elementor-core,,Elementor\Control_Switcher
tab,free,elementor-core,,Elementor\Control_Tab
tabs,free,elementor-core,,Elementor\Control_Tabs
template_query,pro,elementor-pro,,ElementorPro\Modules\QueryControl\Controls\Template_Query
text,free,elementor-core,,Elementor\Control_Text
text_shadow,free,elementor-core,"{""horizontal"":0,""vertical"":0,""blur"":10,""color"":""rgba(0,0,0,0.3)""}",Elementor\Control_Text_Shadow
textarea,free,elementor-core,,Elementor\Control_Textarea
uc_hr,free,unlimited-elements-for-elementor-premium,,Elementor\Control_UC_HR
uc_mp3,free,unlimited-elements-for-elementor-premium,,Elementor\Control_UC_AUDIO
uc_select_special,free,unlimited-elements-for-elementor-premium,,Elementor\Control_UC_SelectSpecial
url,free,elementor-core,"{""url"":"""",""is_external"":"""",""nofollow"":"""",""custom_attributes"":""""}",Elementor\Control_URL
v4_color_variable_list,free,elementor-core,,Elementor\Modules\DesignSystemSync\Controls\V4_Color_Variable_List
v4_typography_list,free,elementor-core,,Elementor\Modules\DesignSystemSync\Controls\V4_Typography_List
visual_choice,free,elementor-core,,Elementor\Control_Visual_Choice
wp_widget,free,elementor-core,,Elementor\Control_WP_Widget
wysiwyg,free,elementor-core,,Elementor\Control_Wysiwyg
