owner,control,device,type,css,expected,status,detail
archive-posts,archive_cards_image_spacing_mobile,mobile,slider,margin-top,455px,FAIL,no CSS emitted for this control
archive-posts,archive_cards_image_spacing_tablet,tablet,slider,margin-top,193px,FAIL,no CSS emitted for this control
container,grid_align_content_mobile,mobile,choose,--grid-align-content,start,FAIL,no CSS emitted for this control
container,grid_align_content_tablet,tablet,choose,--grid-align-content,start,FAIL,no CSS emitted for this control
container,grid_justify_content_mobile,mobile,choose,--grid-justify-content,start,FAIL,no CSS emitted for this control
container,grid_justify_content_tablet,tablet,choose,--grid-justify-content,start,FAIL,no CSS emitted for this control
hotspot,align_mobile,mobile,choose,--background-align,flex-start,FAIL,no CSS emitted for this control
hotspot,align_tablet,tablet,choose,--background-align,flex-start,FAIL,no CSS emitted for this control
hotspot,height_mobile,mobile,slider,--container-height,453px,FAIL,no CSS emitted for this control
hotspot,height_tablet,tablet,slider,--container-height,322px,FAIL,no CSS emitted for this control
hotspot,space_mobile,mobile,slider,--container-max-width,859px,FAIL,no CSS emitted for this control
hotspot,space_tablet,tablet,slider,--container-max-width,910px,FAIL,no CSS emitted for this control
hotspot,width_mobile,mobile,slider,--container-width|--image-width,768px,FAIL,no CSS emitted for this control
hotspot,width_tablet,tablet,slider,--container-width|--image-width,401px,FAIL,no CSS emitted for this control
icon-box,content_vertical_alignment_mobile,mobile,choose,align-items,top,FAIL,no CSS emitted for this control
posts,cards_image_spacing_mobile,mobile,slider,margin-top,656px,FAIL,no CSS emitted for this control
posts,cards_image_spacing_tablet,tablet,slider,margin-top,310px,FAIL,no CSS emitted for this control
archive-posts,archive_cards_read_more_alignment,,switcher,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
archive-posts,archive_classic_read_more_alignment,,switcher,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
call-to-action,content_animation_duration,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
call-to-action,icon_border_radius,,dimensions,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
call-to-action,icon_border_width,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
call-to-action,icon_padding,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
call-to-action,icon_primary_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
call-to-action,icon_secondary_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
call-to-action,icon_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
call-to-action,icon_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
divider,color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
divider,gap,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
divider,pattern_height,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
divider,pattern_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
divider,style,,select,,,skipped,no value can be synthesised for a `select` control
divider,weight,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
floating-bars-var-1,style_cta_button_animation_delay,,number,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
floating-bars-var-1,style_cta_button_animation_duration,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
floating-bars-var-3,style_coupon_animation_delay,,number,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
floating-bars-var-3,style_coupon_animation_duration,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
gallery,content_animation_duration,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrow_hover_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrow_normal_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_border_radius,,dimensions,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_attachment,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_bg_width,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_gradient_angle,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_gradient_position,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_position,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_repeat,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_size,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_slideshow_background_position,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_slideshow_background_size,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_video_fallback,,media,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_xpos,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_background_ypos,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_border_type_border,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_border_type_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_border_type_width,,dimensions,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_hover_box_shadow_box_shadow,,box_shadow,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_attachment,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_bg_width,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_gradient_angle,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_gradient_position,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_position,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_repeat,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_size,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_slideshow_background_position,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_slideshow_background_size,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_video_fallback,,media,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_xpos,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_background_ypos,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_border_type_border,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_border_type_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_border_type_width,,dimensions,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_normal_box_shadow_box_shadow,,box_shadow,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_padding,,dimensions,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,arrows_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
