owner,control,selector_template,properties
accordion,_background_attachment,(desktop+){{WRAPPER}},background-attachment
accordion,_background_bg_width,{{WRAPPER}},background-size
accordion,_background_color,{{WRAPPER}},background-color
accordion,_background_gradient_angle,{{WRAPPER}},background-color background-image
accordion,_background_gradient_position,{{WRAPPER}},background-color background-image
accordion,_background_hover_attachment,(desktop+){{WRAPPER}}:hover,background-attachment
accordion,_background_hover_bg_width,{{WRAPPER}}:hover,background-size
accordion,_background_hover_color,{{WRAPPER}}:hover,background-color
accordion,_background_hover_gradient_angle,{{WRAPPER}}:hover,background-color background-image
accordion,_background_hover_gradient_position,{{WRAPPER}}:hover,background-color background-image
accordion,_background_hover_image,{{WRAPPER}}:hover,background-image
accordion,_background_hover_position,{{WRAPPER}}:hover,background-position
accordion,_background_hover_repeat,{{WRAPPER}}:hover,background-repeat
accordion,_background_hover_size,{{WRAPPER}}:hover,background-size
accordion,_background_hover_slideshow_background_position,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-position
accordion,_background_hover_slideshow_background_size,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-size
accordion,_background_hover_transition,{{WRAPPER}},transition
accordion,_background_hover_video_fallback,{{WRAPPER}}:hover,background background-size
accordion,_background_hover_xpos,{{WRAPPER}}:hover,background-position
accordion,_background_hover_ypos,{{WRAPPER}}:hover,background-position
accordion,_background_image,{{WRAPPER}},background-image
accordion,_background_position,{{WRAPPER}},background-position
accordion,_background_repeat,{{WRAPPER}},background-repeat
accordion,_background_size,{{WRAPPER}},background-size
accordion,_background_slideshow_background_position,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-position
accordion,_background_slideshow_background_size,{{WRAPPER}} .elementor-background-slideshow__slide__image,background-size
accordion,_background_video_fallback,{{WRAPPER}},background background-size
accordion,_background_xpos,{{WRAPPER}},background-position
accordion,_background_ypos,{{WRAPPER}},background-position
accordion,_border_border,{{WRAPPER}},border-style
accordion,_border_color,{{WRAPPER}},border-color
accordion,_border_hover_border,{{WRAPPER}}:hover,border-style
accordion,_border_hover_color,{{WRAPPER}}:hover,border-color
accordion,_border_hover_transition,{{WRAPPER}},transition
accordion,_border_hover_width,{{WRAPPER}}:hover,border-width
