widget,status,size,markers_expected,markers_rendered,responsive,js_errors,screenshot
nested-tabs,rendered+markers,1290x66,2,2,ok,0,shots/nested-tabs.png
nested-accordion,rendered+markers,1290x97,2,2,ok,0,shots/nested-accordion.png
heading,rendered+markers,1290x32,1,1,ok,0,shots/heading.png
image,rendered,1290x28,0,0,ok,0,shots/image.png
text-editor,rendered+markers,1290x26,1,1,ok,0,shots/text-editor.png
video,rendered,1290x726,0,0,ok,0,shots/video.png
button,rendered+markers,1290x39,2,2,ok,0,shots/button.png
divider,rendered,1290x31,0,0,ok,0,shots/divider.png
spacer,EMPTY,1290x50,0,0,ok,0,shots/spacer.png
image-box,rendered+markers,1290x134,2,2,ok,0,shots/image-box.png
google_maps,rendered+markers,1290x300,1,1,ok,0,shots/google_maps.png
icon,rendered,1290x57,0,0,ok,0,shots/icon.png
icon-box,rendered+markers,1290x155,2,2,ok,0,shots/icon-box.png
star-rating,rendered+markers,1290x26,1,1,ok,0,shots/star-rating.png
image-carousel,NOT-IN-DOM,,1,0,ok,0,
image-gallery,NOT-IN-DOM,,0,0,ok,0,
icon-list,rendered+markers,1290x53,1,1,ok,0,shots/icon-list.png
counter,rendered+markers,1290x186,3,3,ok,0,shots/counter.png
progress,rendered+markers,1290x56,2,2,ok,0,shots/progress.png
testimonial,rendered+markers,1290x94,3,3,ok,0,shots/testimonial.png
tabs,rendered+markers,1290x125,2,2,ok,0,shots/tabs.png
accordion,rendered+markers,1290x152,2,2,ok,0,shots/accordion.png
toggle,rendered+markers,1290x94,2,2,ok,0,shots/toggle.png
social-icons,rendered,1290x50,0,0,ok,0,shots/social-icons.png
alert,rendered+markers,1290x83,2,2,ok,0,shots/alert.png
audio,rendered,1290x207,0,0,ok,0,shots/audio.png
shortcode,rendered+markers,1290x26,1,1,ok,0,shots/shortcode.png
html,NOT-IN-DOM,,0,0,ok,0,
menu-anchor,rendered+markers,1290x0,1,1,ok,0,
sidebar,expected-empty,,0,0,ok,0,
read-more,EMPTY,1290x0,1,0,ok,0,
rating,rendered,1290x16,0,0,ok,0,shots/rating.png
text-path,rendered+markers,1290x93,1,1,ok,0,shots/text-path.png
theme-site-logo,rendered,1290x800,0,0,ok,0,shots/theme-site-logo.png
theme-site-title,rendered+markers,1290x32,1,1,ok,0,shots/theme-site-title.png
theme-page-title,rendered+markers,1290x36,1,1,ok,0,shots/theme-page-title.png
theme-post-title,rendered+markers,1290x36,1,1,ok,0,shots/theme-post-title.png
theme-post-excerpt,rendered+markers,1290x26,1,1,ok,0,shots/theme-post-excerpt.png
theme-post-content,rendered,1290x20,0,0,ok,0,shots/theme-post-content.png
theme-post-featured-image,rendered,1290x28,0,0,ok,0,shots/theme-post-featured-image.png
theme-archive-title,rendered+markers,1290x36,1,1,ok,0,shots/theme-archive-title.png
archive-posts,rendered-DEFAULTS-ONLY,1290x82,1,0,ok,0,shots/archive-posts.png
loop-grid,expected-empty,,0,0,ok,0,
loop-carousel,expected-empty,,0,0,ok,0,
off-canvas,ZERO-SIZE,0x0,1,1,1440px:zero-size;375px:zero-size;768px:zero-size,0,
posts,rendered-DEFAULTS-ONLY,1290x842,1,0,ok,0,shots/posts.png
portfolio,rendered-DEFAULTS-ONLY,1290x568,1,0,ok,0,shots/portfolio.png
