name,elType,tier,requires,title,categories,controls_own,controls_total,has_common
section,section,free,,Section,,290,290,no
column,column,free,,Column,,262,262,no
container,container,free,,Container,,354,354,no
e-div-block,e-div-block,free,experiment:e_atomic_elements,Div block,,0,0,no
e-flexbox,e-flexbox,free,experiment:e_atomic_elements,Flexbox,,0,0,no
e-tabs,e-tabs,free,experiment:e_atomic_elements,Tabs,,0,0,no
e-tabs-menu,e-tabs-menu,free,experiment:e_atomic_elements,Tabs menu,,0,0,no
e-tab,e-tab,free,experiment:e_atomic_elements,Tab trigger,,0,0,no
e-tabs-content-area,e-tabs-content-area,free,experiment:e_atomic_elements,Tabs content area,,0,0,no
e-tab-content,e-tab-content,free,experiment:e_atomic_elements,Tab content,,0,0,no
e-form,e-form,free,experiment:e_atomic_elements,Atomic form,,0,0,no
e-form-success-message,e-form-success-message,free,experiment:e_atomic_elements,Success message,,0,0,no
e-form-error-message,e-form-error-message,free,experiment:e_atomic_elements,Error message,,0,0,no
accordion,widget,free,,Accordion,general,45,256,yes
alert,widget,free,,Alert,general,40,251,yes
animated-headline,widget,pro,,Animated Headline,pro-elements,51,262,yes
archive-posts,widget,pro,,Archive Posts,theme-elements-archive,438,649,yes
audio,widget,free,,SoundCloud,general,12,223,yes
author-box,widget,pro,,Author Box,theme-elements-single|theme-elements-archive,69,280,yes
blockquote,widget,pro,,Blockquote,pro-elements,79,290,yes
button,widget,free,,Button,basic,102,313,yes
call-to-action,widget,pro,,Call to Action,pro-elements,137,348,yes
code-highlight,widget,pro,,Code Highlight,pro-elements,9,220,yes
common,widget,free,,common,general,0,211,yes
common-base,widget,free,,common-base,general,0,166,no
common-optimized,widget,free,,common-optimized,general,0,211,yes
contact-buttons,widget,free,experiment:container,Single Chat,general,130,341,yes
contact-buttons-var-1,widget,pro,experiment:container,Multi Chat,general,115,326,yes
contact-buttons-var-10,widget,pro,experiment:container,Interactive,general,28,239,yes
contact-buttons-var-3,widget,pro,experiment:container,Info Button Box,general,82,293,yes
contact-buttons-var-4,widget,pro,experiment:container,Vertical Links,general,46,257,yes
contact-buttons-var-5,widget,pro,experiment:container,Classic,general,31,242,yes
contact-buttons-var-6,widget,pro,experiment:container,Quick Access Bar,general,15,226,yes
contact-buttons-var-7,widget,pro,experiment:container,Mobile Bar,general,39,250,yes
contact-buttons-var-8,widget,pro,experiment:container,Resource Box,general,85,296,yes
contact-buttons-var-9,widget,pro,experiment:container,Animated Classic,general,36,247,yes
countdown,widget,pro,,Countdown,pro-elements,74,285,yes
counter,widget,free,,Counter,general,48,259,yes
divider,widget,free,,Divider,basic,41,252,yes
e-button,widget,free,experiment:e_atomic_elements,Button,v4-elements,0,0,no
e-component,widget,free,experiment:e_components,Component,v4-elements,0,0,no
e-divider,widget,free,experiment:e_atomic_elements,Divider,v4-elements,0,0,no
e-form-checkbox,widget,pro,experiment:e_pro_atomic_form,Checkbox,atomic-form,0,0,no
e-form-date-picker,widget,pro,experiment:e_pro_atomic_form,Date picker,atomic-form,0,0,no
e-form-file-upload,widget,pro,experiment:e_pro_atomic_form,File Upload,atomic-form,0,0,no
e-form-input,widget,pro,experiment:e_pro_atomic_form,Input,atomic-form,0,0,no
e-form-label,widget,pro,experiment:e_pro_atomic_form,Label,atomic-form,0,0,no
e-form-radio-button,widget,pro,experiment:e_pro_atomic_form,Radio button,atomic-form,0,0,no
e-form-select,widget,pro,experiment:e_pro_atomic_form,Select,atomic-form,0,0,no
e-form-submit-button,widget,pro,experiment:e_pro_atomic_form,Submit button,atomic-form,0,0,no
e-form-textarea,widget,pro,experiment:e_pro_atomic_form,Text area,atomic-form,0,0,no
e-form-time-picker,widget,pro,experiment:e_pro_atomic_form,Time picker,atomic-form,0,0,no
e-heading,widget,free,experiment:e_atomic_elements,Heading,v4-elements,0,0,no
e-image,widget,free,experiment:e_atomic_elements,Image,v4-elements,0,0,no
e-paragraph,widget,free,experiment:e_atomic_elements,Paragraph,v4-elements,0,0,no
e-self-hosted-video,widget,free,experiment:e_atomic_elements,Video,v4-elements,0,0,no
